PROVINCIA;COMARCA;MUNICIPIO;GRUPO DE CULTIVO;CULTIVO;SUPERFICIE CULTIVADA (ha);DOTACION (m3/ha);CONSUMO ESTIMADO (m3);PRECIO MEDIO AGUA (euros/m3);COSTE ESTIMADO (euros)
ALICANTE;EL COMTAT;BENASAU;FRUTALES;MANZANO;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;EL COMTAT;BENIARRES;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;EL COMTAT;BENILLOBA;CEREALES PARA GRANO;TRIGO;22,00;3438,77;75652,90;1,19;89987,75
ALICANTE;EL COMTAT;BENILLUP;FRUTALES;ALBARICOQUERO;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;EL COMTAT;BENIMARFULL;CEREALES PARA GRANO;TRIGO;5,00;3438,77;17193,84;1,19;20451,76
ALICANTE;EL COMTAT;BENIMASSOT;FRUTALES;MANZANO;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;EL COMTAT;COCENTAINA;CEREALES PARA GRANO;TRIGO;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;EL COMTAT;FACHECA;FRUTALES;CEREZO Y GUINDO;7,00;3438,77;24071,38;1,19;28632,46
ALICANTE;EL COMTAT;FAMORCA;FRUTALES;ALMENDRO;4,00;3438,77;13755,07;1,19;16361,41
ALICANTE;EL COMTAT;GAIANES;HORTALIZAS;PEPINO;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;EL COMTAT;GORGA;CEREALES PARA GRANO;TRIGO;11,00;3438,77;37826,45;1,19;44993,87
ALICANTE;EL COMTAT;LORCHA/ORXA (L');TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;EL COMTAT;MILLENA;FRUTALES;MANZANO;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;EL COMTAT;MURO DE ALCOY;CEREALES PARA GRANO;AVENA;4,00;3438,77;13755,07;1,19;16361,41
ALICANTE;EL COMTAT;PLANES;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;EL COMTAT;QUATRETONDETA;LEGUMINOSAS GRANO;YERO;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;EL COMTAT;TOLLOS;FRUTALES;CEREZO Y GUINDO;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;L'ALACANTI;AGOST;CEREALES PARA GRANO;AVENA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;L'ALACANTI;AIGUES;CITRICOS;NARANJO DULCE;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;L'ALACANTI;ALICANTE/ALACANT;CEREALES PARA GRANO;CEBADA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;L'ALACANTI;BUSOT;HORTALIZAS;TOMATE;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;L'ALACANTI;CAMPELLO (EL);HORTALIZAS;LECHUGA;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;L'ALACANTI;JIJONA/XIXONA;CEREALES PARA GRANO;TRIGO;39,00;3438,77;134111,96;1,19;159523,73
ALICANTE;L'ALACANTI;MUTXAMEL;TUBERCULOS C. HUMANO;PATATA TEMPRANA;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;L'ALACANTI;SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPE;CEREALES PARA GRANO;SORGO;11,00;3438,77;37826,45;1,19;44993,87
ALICANTE;L'ALACANTI;SANT JOAN D'ALACANT;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;L'ALACANTI;TORREMANZANAS/TORRE DE LES MACANES (LA);CEREALES PARA GRANO;CEBADA;7,00;3438,77;24071,38;1,19;28632,46
ALICANTE;L'ALCOIA;ALCOY/ALCOI;CEREALES PARA GRANO;TRIGO;331,00;3438,77;1138232,25;1,19;1353906,56
ALICANTE;L'ALCOIA;BANYERES DE MARIOLA;CEREALES PARA GRANO;TRIGO;127,00;3438,77;436723,55;1,19;519474,72
ALICANTE;L'ALCOIA;BENIFALLIM;FRUTALES;MANZANO;6,00;3438,77;20632,61;1,19;24542,11
ALICANTE;L'ALCOIA;CASTALLA;CEREALES PARA GRANO;TRIGO;59,00;3438,77;202887,32;1,19;241330,78
ALICANTE;L'ALCOIA;IBI;CEREALES PARA GRANO;TRIGO;20,00;3438,77;68775,36;1,19;81807,04
ALICANTE;L'ALCOIA;ONIL;CEREALES PARA GRANO;TRIGO;4,00;3438,77;13755,07;1,19;16361,41
ALICANTE;L'ALCOIA;PENAGUILA;CEREALES PARA GRANO;TRIGO;8,00;3438,77;27510,14;1,19;32722,82
ALICANTE;L'ALCOIA;TIBI;CEREALES PARA GRANO;TRIGO;8,00;3438,77;27510,14;1,19;32722,82
ALICANTE;LA MARINA ALTA;ADSUBIA;CULTIVOS INDUSTRIALES;OTROS CULTIVOS INDUSTRIA.;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;ALCALALI;TUBERCULOS C. HUMANO;PATATA TARDIA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;BENIARBEIG;CITRICOS;NARANJO DULCE;97,00;3438,77;333560,51;1,19;396764,16
ALICANTE;LA MARINA ALTA;BENIDOLEIG;CITRICOS;NARANJO DULCE;41,00;3438,77;140989,49;1,19;167704,44
ALICANTE;LA MARINA ALTA;BENIGEMBLA;CITRICOS;NARANJO DULCE;7,00;3438,77;24071,38;1,19;28632,46
ALICANTE;LA MARINA ALTA;BENIMELI;CEREALES PARA GRANO;AVENA;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;LA MARINA ALTA;BENISSA;CEREALES PARA GRANO;TRIGO;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;BENITACHELL/POBLE NOU DE BENITATXELL (EL);TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;CALP;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;CASTELL DE CASTELLS;FRUTALES;MANZANO;5,00;3438,77;17193,84;1,19;20451,76
ALICANTE;LA MARINA ALTA;DENIA;CEREALES PARA GRANO;ARROZ (CASCARA);114,00;3438,77;392019,57;1,19;466300,14
ALICANTE;LA MARINA ALTA;GATA DE GORGOS;TUBERCULOS C. HUMANO;PATATA TEMPRANA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;JAVEA/XABIA;TUBERCULOS C. HUMANO;PATATA TEMPRANA;4,00;3438,77;13755,07;1,19;16361,41
ALICANTE;LA MARINA ALTA;LLIBER;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;MURLA;CITRICOS;NARANJO DULCE;19,00;3438,77;65336,59;1,19;77716,69
ALICANTE;LA MARINA ALTA;ONDARA;TUBERCULOS C. HUMANO;PATATA TEMPRANA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;ORBA;CULTIVOS FORRAJEROS;OTROS FORRAJES VARIOS;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;LA MARINA ALTA;PARCENT;HORTALIZAS;BERENJENA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;PEDREGUER;CULTIVOS FORRAJEROS;OTROS FORRAJES VARIOS;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;PEGO;CEREALES PARA GRANO;ARROZ (CASCARA);321,00;3438,77;1103844,56;1,19;1313003,04
ALICANTE;LA MARINA ALTA;POBLETS (ELS);CITRICOS;NARANJO DULCE;24,00;3438,77;82530,43;1,19;98168,45
ALICANTE;LA MARINA ALTA;RAFOL D'ALMUNIA (EL);CITRICOS;NARANJO DULCE;17,00;3438,77;58459,06;1,19;69535,99
ALICANTE;LA MARINA ALTA;SAGRA;CITRICOS;NARANJO DULCE;26,00;3438,77;89407,97;1,19;106349,16
ALICANTE;LA MARINA ALTA;SANET Y NEGRALS;CITRICOS;NARANJO DULCE;39,00;3438,77;134111,96;1,19;159523,73
ALICANTE;LA MARINA ALTA;SENIJA;FRUTALES;ALMENDRO;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;LA MARINA ALTA;TEULADA;FLORES Y P. ORNAMENTALES;PLANTAS ORNAMENTALES;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;LA MARINA ALTA;TORMOS;CITRICOS;NARANJO DULCE;34,00;3438,77;116918,12;1,19;139071,97
ALICANTE;LA MARINA ALTA;VALL D'ALCALA (LA);FRUTALES;MANZANO;7,00;3438,77;24071,38;1,19;28632,46
ALICANTE;LA MARINA ALTA;VALL D'EBO (LA);FRUTALES;MANZANO;10,00;3438,77;34387,68;1,19;40903,52
ALICANTE;LA MARINA ALTA;VALL DE GALLINERA;CITRICOS;NARANJO DULCE;19,00;3438,77;65336,59;1,19;77716,69
ALICANTE;LA MARINA ALTA;VALL DE LAGUAR (LA);HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA ALTA;VERGER (EL);CITRICOS;NARANJO DULCE;48,00;3438,77;165060,87;1,19;196336,90
ALICANTE;LA MARINA ALTA;XALO;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA BAIXA;ALFAS DEL PI (L');HORTALIZAS;LECHUGA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA BAIXA;ALTEA;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA BAIXA;BENIARDA;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA BAIXA;BENIDORM;CEREALES PARA GRANO;CEBADA;20,00;3438,77;68775,36;1,19;81807,04
ALICANTE;LA MARINA BAIXA;BENIFATO;FRUTALES;MANZANO;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;LA MARINA BAIXA;BENIMANTELL;CITRICOS;NARANJO DULCE;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA BAIXA;BOLULLA;CITRICOS;NARANJO DULCE;32,00;3438,77;110040,58;1,19;130891,27
ALICANTE;LA MARINA BAIXA;CALLOSA D'EN SARRIA;TUBERCULOS C. HUMANO;PATATA TEMPRANA;2,00;3438,77;6877,54;1,19;8180,70
ALICANTE;LA MARINA BAIXA;CASTELL DE GUADALEST (EL);CITRICOS;NARANJO DULCE;13,00;3438,77;44703,99;1,19;53174,58
ALICANTE;LA MARINA BAIXA;CONFRIDES;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA BAIXA;FINESTRAT;CITRICOS;NARANJO DULCE;14,00;3438,77;48142,75;1,19;57264,93
ALICANTE;LA MARINA BAIXA;NUCIA (LA);HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA BAIXA;ORXETA;CEREALES PARA GRANO;TRIGO;7,00;3438,77;24071,38;1,19;28632,46
ALICANTE;LA MARINA BAIXA;POLOP;CITRICOS;NARANJO DULCE;25,00;3438,77;85969,20;1,19;102258,80
ALICANTE;LA MARINA BAIXA;RELLEU;CEREALES PARA GRANO;TRIGO;22,00;3438,77;75652,90;1,19;89987,75
ALICANTE;LA MARINA BAIXA;SELLA;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;LA MARINA BAIXA;TARBENA;TUBERCULOS C. HUMANO;PATATA TARDIA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;LA MARINA BAIXA;VILLAJOYOSA/VILA JOIOSA (LA);CEREALES PARA GRANO;TRIGO;14,00;3438,77;48142,75;1,19;57264,93
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;ALGUENA;FRUTALES;ALMENDRO;420,00;3438,77;1444282,61;1,19;1717947,90
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;ASPE;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;3,00;3438,77;10316,30;1,19;12271,06
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;ELDA;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;FONDO DE LES NEUS (EL)/HONDON DE LAS NIEVES;CEREALES PARA GRANO;TRIGO;5,00;3438,77;17193,84;1,19;20451,76
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;HONDON DE LOS FRAILES;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;MONFORTE DEL CID;CEREALES PARA GRANO;TRIGO;17,00;3438,77;58459,06;1,19;69535,99
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;MONOVAR/MONOVER;CEREALES PARA GRANO;TRIGO;5,00;3438,77;17193,84;1,19;20451,76
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;NOVELDA;CEREALES PARA GRANO;AVENA;1,00;3438,77;3438,77;1,19;4090,35
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;PETRER;CEREALES PARA GRANO;CEBADA;6,00;3438,77;20632,61;1,19;24542,11
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;PINOS (EL)/PINOSO;CEREALES PARA GRANO;TRIGO;20,00;3438,77;68775,36;1,19;81807,04
ALICANTE;VINALOPO MITJA/VINALOPO MEDIO;ROMANA (LA);CEREALES PARA GRANO;TRIGO;6,00;3438,77;20632,61;1,19;24542,11
CASTELLON;ALTO MILLARES;ARANUEL;CEREALES PARA GRANO;CENTENO;2,00;3438,77;6877,54;1,19;8180,70
CASTELLON;ALTO MILLARES;ARGELITA;CITRICOS;MANDARINO;6,00;3438,77;20632,61;1,19;24542,11
CASTELLON;ALTO MILLARES;AYODAR;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;CASTILLO DE VILLAMALEFA;CEREALES PARA GRANO;CEBADA;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;CIRAT;CULTIVOS FORRAJEROS;CEREALES PARA FORRAJES;3,00;3438,77;10316,30;1,19;12271,06
CASTELLON;ALTO MILLARES;CORTES DE ARENOSO;CEREALES PARA GRANO;TRIGO;8,00;3438,77;27510,14;1,19;32722,82
CASTELLON;ALTO MILLARES;ESPADILLA;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;FANZARA;CITRICOS;NARANJO DULCE;2,00;3438,77;6877,54;1,19;8180,70
CASTELLON;ALTO MILLARES;FUENTE LA REINA;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;FUENTES DE AYODAR;CULTIVOS FORRAJEROS;CEREALES PARA FORRAJES;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;LUDIENTE;CEREALES PARA GRANO;TRIGO;2,00;3438,77;6877,54;1,19;8180,70
CASTELLON;ALTO MILLARES;MONTAN;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;MONTANEJOS;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;PUEBLA DE ARENOSO;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;TOGA;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;TORRALBA DEL PINAR;CEREALES PARA GRANO;TRIGO;5,00;3438,77;17193,84;1,19;20451,76
CASTELLON;ALTO MILLARES;TORRECHIVA;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;VALLAT;CITRICOS;MANDARINO;17,00;3438,77;58459,06;1,19;69535,99
CASTELLON;ALTO MILLARES;VILLAHERMOSA DEL RIO;CEREALES PARA GRANO;TRIGO;28,00;3438,77;96285,51;1,19;114529,86
CASTELLON;ALTO MILLARES;VILLAMALUR;HORTALIZAS;HABA VERDE;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;VILLANUEVA DE VIVER;TUBERCULOS C. HUMANO;PATATA TARDIA;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO MILLARES;ZUCAINA;CEREALES PARA GRANO;TRIGO;25,00;3438,77;85969,20;1,19;102258,80
CASTELLON;ALTO PALANCIA;ALGIMIA DE ALMONACID;FRUTALES;PERAL;2,00;3438,77;6877,54;1,19;8180,70
CASTELLON;ALTO PALANCIA;ALMEDIJAR;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;ALTURA;CEREALES PARA GRANO;TRIGO;3,00;3438,77;10316,30;1,19;12271,06
CASTELLON;ALTO PALANCIA;AZUEBAR;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;BARRACAS;CEREALES PARA GRANO;TRIGO;104,00;3438,77;357631,88;1,19;425396,62
CASTELLON;ALTO PALANCIA;BEJIS;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;BENAFER;CEREALES PARA GRANO;CEBADA;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;CASTELLNOVO;FLORES Y P. ORNAMENTALES;OTRAS FLORES;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;CAUDIEL;CEREALES PARA GRANO;CEBADA;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;CHOVAR;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;GAIBIEL;FLORES Y P. ORNAMENTALES;PLANTAS ORNAMENTALES;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;GELDO;FLORES Y P. ORNAMENTALES;PLANTAS ORNAMENTALES;2,00;3438,77;6877,54;1,19;8180,70
CASTELLON;ALTO PALANCIA;HIGUERAS;TUBERCULOS C. HUMANO;PATATA TARDIA;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;JERICA;CEREALES PARA GRANO;AVENA;3,00;3438,77;10316,30;1,19;12271,06
CASTELLON;ALTO PALANCIA;MATET;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;NAVAJAS;TUBERCULOS C. HUMANO;PATATA MEDIA ESTACION;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;PAVIAS;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;PINA DE MONTALGRAO;CEREALES PARA GRANO;TRIGO;3,00;3438,77;10316,30;1,19;12271,06
CASTELLON;ALTO PALANCIA;SACANET;CEREALES PARA GRANO;TRIGO;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;SEGORBE;CEREALES PARA GRANO;TRIGO;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;SONEJA;HORTALIZAS;TOMATE;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;SOT DE FERRER;FLORES Y P. ORNAMENTALES;PLANTAS ORNAMENTALES;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;TERESA;HORTALIZAS;LECHUGA;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;TORAS;CEREALES PARA GRANO;AVENA;1,00;3438,77;3438,77;1,19;4090,35
CASTELLON;ALTO PALANCIA;TORO (EL);CEREALES PARA GRANO;TRIGO;88,00;3438,77;302611,59;1,19;359950,99
